new_filename	filename	part	section	cluster
Death on the Balcony - Tempt Of Fate.wav_part_17_5	Death on the Balcony - Tempt Of Fate.wav	part_17	5	1
Death on the Balcony - Tempt Of Fate.wav_part_17_6	Death on the Balcony - Tempt Of Fate.wav	part_17	6	2
Death on the Balcony - Tempt Of Fate.wav_part_17_7	Death on the Balcony - Tempt Of Fate.wav	part_17	7	1
Death on the Balcony - Tempt Of Fate.wav_part_17_8	Death on the Balcony - Tempt Of Fate.wav	part_17	8	1
Death on the Balcony - Tempt Of Fate.wav_part_17_9	Death on the Balcony - Tempt Of Fate.wav	part_17	9	1
Death on the Balcony - Tempt Of Fate.wav_part_17_10	Death on the Balcony - Tempt Of Fate.wav	part_17	10	2
Death on the Balcony - Tempt Of Fate.wav_part_17_11	Death on the Balcony - Tempt Of Fate.wav	part_17	11	1
Death on the Balcony - Tempt Of Fate.wav_part_17_12	Death on the Balcony - Tempt Of Fate.wav	part_17	12	2
Death on the Balcony - Tempt Of Fate.wav_part_17_13	Death on the Balcony - Tempt Of Fate.wav	part_17	13	2
Death on the Balcony - Tempt Of Fate.wav_part_17_14	Death on the Balcony - Tempt Of Fate.wav	part_17	14	2
Death on the Balcony - Tempt Of Fate.wav_part_17_15	Death on the Balcony - Tempt Of Fate.wav	part_17	15	2
Death on the Balcony - Tempt Of Fate.wav_part_18_0	Death on the Balcony - Tempt Of Fate.wav	part_18	0	1
Death on the Balcony - Tempt Of Fate.wav_part_18_1	Death on the Balcony - Tempt Of Fate.wav	part_18	1	1
Death on the Balcony - Tempt Of Fate.wav_part_18_2	Death on the Balcony - Tempt Of Fate.wav	part_18	2	2
Death on the Balcony - Tempt Of Fate.wav_part_18_3	Death on the Balcony - Tempt Of Fate.wav	part_18	3	2
Death on the Balcony - Tempt Of Fate.wav_part_18_4	Death on the Balcony - Tempt Of Fate.wav	part_18	4	2
Death on the Balcony - Tempt Of Fate.wav_part_18_5	Death on the Balcony - Tempt Of Fate.wav	part_18	5	2
Death on the Balcony - Tempt Of Fate.wav_part_18_6	Death on the Balcony - Tempt Of Fate.wav	part_18	6	2
Death on the Balcony - Tempt Of Fate.wav_part_18_7	Death on the Balcony - Tempt Of Fate.wav	part_18	7	2
Death on the Balcony - Tempt Of Fate.wav_part_18_8	Death on the Balcony - Tempt Of Fate.wav	part_18	8	2
Death on the Balcony - Tempt Of Fate.wav_part_18_9	Death on the Balcony - Tempt Of Fate.wav	part_18	9	2
Death on the Balcony - Tempt Of Fate.wav_part_18_10	Death on the Balcony - Tempt Of Fate.wav	part_18	10	2
Death on the Balcony - Tempt Of Fate.wav_part_18_11	Death on the Balcony - Tempt Of Fate.wav	part_18	11	2
Death on the Balcony - Tempt Of Fate.wav_part_18_12	Death on the Balcony - Tempt Of Fate.wav	part_18	12	2
Death on the Balcony - Tempt Of Fate.wav_part_18_13	Death on the Balcony - Tempt Of Fate.wav	part_18	13	0
Death on the Balcony - Tempt Of Fate.wav_part_18_14	Death on the Balcony - Tempt Of Fate.wav	part_18	14	2
Death on the Balcony - Tempt Of Fate.wav_part_18_15	Death on the Balcony - Tempt Of Fate.wav	part_18	15	0
Death on the Balcony - Tempt Of Fate.wav_part_19_0	Death on the Balcony - Tempt Of Fate.wav	part_19	0	2
Death on the Balcony - Tempt Of Fate.wav_part_19_1	Death on the Balcony - Tempt Of Fate.wav	part_19	1	2
Death on the Balcony - Tempt Of Fate.wav_part_19_2	Death on the Balcony - Tempt Of Fate.wav	part_19	2	2
Death on the Balcony - Tempt Of Fate.wav_part_19_3	Death on the Balcony - Tempt Of Fate.wav	part_19	3	0
Death on the Balcony - Tempt Of Fate.wav_part_19_4	Death on the Balcony - Tempt Of Fate.wav	part_19	4	2
Death on the Balcony - Tempt Of Fate.wav_part_19_5	Death on the Balcony - Tempt Of Fate.wav	part_19	5	2
Death on the Balcony - Tempt Of Fate.wav_part_19_6	Death on the Balcony - Tempt Of Fate.wav	part_19	6	2
Death on the Balcony - Tempt Of Fate.wav_part_19_7	Death on the Balcony - Tempt Of Fate.wav	part_19	7	2
Death on the Balcony - Tempt Of Fate.wav_part_19_8	Death on the Balcony - Tempt Of Fate.wav	part_19	8	2
Death on the Balcony - Tempt Of Fate.wav_part_19_9	Death on the Balcony - Tempt Of Fate.wav	part_19	9	2
Death on the Balcony - Tempt Of Fate.wav_part_19_10	Death on the Balcony - Tempt Of Fate.wav	part_19	10	2
Death on the Balcony - Tempt Of Fate.wav_part_19_11	Death on the Balcony - Tempt Of Fate.wav	part_19	11	2
Death on the Balcony - Tempt Of Fate.wav_part_19_12	Death on the Balcony - Tempt Of Fate.wav	part_19	12	2
Death on the Balcony - Tempt Of Fate.wav_part_19_13	Death on the Balcony - Tempt Of Fate.wav	part_19	13	2
Death on the Balcony - Tempt Of Fate.wav_part_19_14	Death on the Balcony - Tempt Of Fate.wav	part_19	14	2
Death on the Balcony - Tempt Of Fate.wav_part_19_15	Death on the Balcony - Tempt Of Fate.wav	part_19	15	0
Death on the Balcony - Tempt Of Fate.wav_part_20_0	Death on the Balcony - Tempt Of Fate.wav	part_20	0	2
Death on the Balcony - Tempt Of Fate.wav_part_20_1	Death on the Balcony - Tempt Of Fate.wav	part_20	1	2
Death on the Balcony - Tempt Of Fate.wav_part_20_2	Death on the Balcony - Tempt Of Fate.wav	part_20	2	2
Death on the Balcony - Tempt Of Fate.wav_part_20_3	Death on the Balcony - Tempt Of Fate.wav	part_20	3	0
Death on the Balcony - Tempt Of Fate.wav_part_20_4	Death on the Balcony - Tempt Of Fate.wav	part_20	4	2
Death on the Balcony - Tempt Of Fate.wav_part_20_5	Death on the Balcony - Tempt Of Fate.wav	part_20	5	2
Death on the Balcony - Tempt Of Fate.wav_part_20_6	Death on the Balcony - Tempt Of Fate.wav	part_20	6	3
Death on the Balcony - Tempt Of Fate.wav_part_20_7	Death on the Balcony - Tempt Of Fate.wav	part_20	7	2
Death on the Balcony - Tempt Of Fate.wav_part_20_8	Death on the Balcony - Tempt Of Fate.wav	part_20	8	2
Death on the Balcony - Tempt Of Fate.wav_part_20_9	Death on the Balcony - Tempt Of Fate.wav	part_20	9	1
Death on the Balcony - Tempt Of Fate.wav_part_20_10	Death on the Balcony - Tempt Of Fate.wav	part_20	10	2
Death on the Balcony - Tempt Of Fate.wav_part_20_11	Death on the Balcony - Tempt Of Fate.wav	part_20	11	2
Death on the Balcony - Tempt Of Fate.wav_part_20_12	Death on the Balcony - Tempt Of Fate.wav	part_20	12	2
Death on the Balcony - Tempt Of Fate.wav_part_20_13	Death on the Balcony - Tempt Of Fate.wav	part_20	13	1
Death on the Balcony - Tempt Of Fate.wav_part_20_14	Death on the Balcony - Tempt Of Fate.wav	part_20	14	2
Death on the Balcony - Tempt Of Fate.wav_part_20_15	Death on the Balcony - Tempt Of Fate.wav	part_20	15	1
Death on the Balcony - Tempt Of Fate.wav_part_21_0	Death on the Balcony - Tempt Of Fate.wav	part_21	0	2
Death on the Balcony - Tempt Of Fate.wav_part_21_1	Death on the Balcony - Tempt Of Fate.wav	part_21	1	2
Death on the Balcony - Tempt Of Fate.wav_part_21_2	Death on the Balcony - Tempt Of Fate.wav	part_21	2	2
Death on the Balcony - Tempt Of Fate.wav_part_21_3	Death on the Balcony - Tempt Of Fate.wav	part_21	3	1
Death on the Balcony - Tempt Of Fate.wav_part_21_4	Death on the Balcony - Tempt Of Fate.wav	part_21	4	1
Death on the Balcony - Tempt Of Fate.wav_part_21_5	Death on the Balcony - Tempt Of Fate.wav	part_21	5	1
Death on the Balcony - Tempt Of Fate.wav_part_21_6	Death on the Balcony - Tempt Of Fate.wav	part_21	6	2
Death on the Balcony - Tempt Of Fate.wav_part_21_7	Death on the Balcony - Tempt Of Fate.wav	part_21	7	2
Death on the Balcony - Tempt Of Fate.wav_part_21_8	Death on the Balcony - Tempt Of Fate.wav	part_21	8	1
Death on the Balcony - Tempt Of Fate.wav_part_21_9	Death on the Balcony - Tempt Of Fate.wav	part_21	9	1
Death on the Balcony - Tempt Of Fate.wav_part_21_10	Death on the Balcony - Tempt Of Fate.wav	part_21	10	2
Death on the Balcony - Tempt Of Fate.wav_part_21_11	Death on the Balcony - Tempt Of Fate.wav	part_21	11	2
Death on the Balcony - Tempt Of Fate.wav_part_21_12	Death on the Balcony - Tempt Of Fate.wav	part_21	12	2
Death on the Balcony - Tempt Of Fate.wav_part_21_13	Death on the Balcony - Tempt Of Fate.wav	part_21	13	1
Death on the Balcony - Tempt Of Fate.wav_part_21_14	Death on the Balcony - Tempt Of Fate.wav	part_21	14	2
Death on the Balcony - Tempt Of Fate.wav_part_21_15	Death on the Balcony - Tempt Of Fate.wav	part_21	15	1
Death on the Balcony - Tempt Of Fate.wav_part_22_0	Death on the Balcony - Tempt Of Fate.wav	part_22	0	2
Death on the Balcony - Tempt Of Fate.wav_part_22_1	Death on the Balcony - Tempt Of Fate.wav	part_22	1	2
Death on the Balcony - Tempt Of Fate.wav_part_22_2	Death on the Balcony - Tempt Of Fate.wav	part_22	2	2
Death on the Balcony - Tempt Of Fate.wav_part_22_3	Death on the Balcony - Tempt Of Fate.wav	part_22	3	0
Death on the Balcony - Tempt Of Fate.wav_part_22_4	Death on the Balcony - Tempt Of Fate.wav	part_22	4	2
Death on the Balcony - Tempt Of Fate.wav_part_22_5	Death on the Balcony - Tempt Of Fate.wav	part_22	5	2
Death on the Balcony - Tempt Of Fate.wav_part_22_6	Death on the Balcony - Tempt Of Fate.wav	part_22	6	2
Death on the Balcony - Tempt Of Fate.wav_part_22_7	Death on the Balcony - Tempt Of Fate.wav	part_22	7	0
Death on the Balcony - Tempt Of Fate.wav_part_22_8	Death on the Balcony - Tempt Of Fate.wav	part_22	8	2
Death on the Balcony - Tempt Of Fate.wav_part_22_9	Death on the Balcony - Tempt Of Fate.wav	part_22	9	2
Death on the Balcony - Tempt Of Fate.wav_part_22_10	Death on the Balcony - Tempt Of Fate.wav	part_22	10	2
Death on the Balcony - Tempt Of Fate.wav_part_22_11	Death on the Balcony - Tempt Of Fate.wav	part_22	11	2
Death on the Balcony - Tempt Of Fate.wav_part_22_12	Death on the Balcony - Tempt Of Fate.wav	part_22	12	2
Death on the Balcony - Tempt Of Fate.wav_part_22_13	Death on the Balcony - Tempt Of Fate.wav	part_22	13	2
Death on the Balcony - Tempt Of Fate.wav_part_22_14	Death on the Balcony - Tempt Of Fate.wav	part_22	14	2
Death on the Balcony - Tempt Of Fate.wav_part_22_15	Death on the Balcony - Tempt Of Fate.wav	part_22	15	2
Death on the Balcony - Tempt Of Fate.wav_part_23_0	Death on the Balcony - Tempt Of Fate.wav	part_23	0	2
Death on the Balcony - Tempt Of Fate.wav_part_23_1	Death on the Balcony - Tempt Of Fate.wav	part_23	1	2
Death on the Balcony - Tempt Of Fate.wav_part_23_2	Death on the Balcony - Tempt Of Fate.wav	part_23	2	2
Death on the Balcony - Tempt Of Fate.wav_part_23_3	Death on the Balcony - Tempt Of Fate.wav	part_23	3	0
Death on the Balcony - Tempt Of Fate.wav_part_23_4	Death on the Balcony - Tempt Of Fate.wav	part_23	4	2
Death on the Balcony - Tempt Of Fate.wav_part_23_5	Death on the Balcony - Tempt Of Fate.wav	part_23	5	2
Death on the Balcony - Tempt Of Fate.wav_part_23_6	Death on the Balcony - Tempt Of Fate.wav	part_23	6	2
Death on the Balcony - Tempt Of Fate.wav_part_23_7	Death on the Balcony - Tempt Of Fate.wav	part_23	7	0
Death on the Balcony - Tempt Of Fate.wav_part_23_8	Death on the Balcony - Tempt Of Fate.wav	part_23	8	2
Death on the Balcony - Tempt Of Fate.wav_part_23_9	Death on the Balcony - Tempt Of Fate.wav	part_23	9	2
Death on the Balcony - Tempt Of Fate.wav_part_23_10	Death on the Balcony - Tempt Of Fate.wav	part_23	10	2
Death on the Balcony - Tempt Of Fate.wav_part_23_11	Death on the Balcony - Tempt Of Fate.wav	part_23	11	2
Death on the Balcony - Tempt Of Fate.wav_part_23_12	Death on the Balcony - Tempt Of Fate.wav	part_23	12	2
Death on the Balcony - Tempt Of Fate.wav_part_23_13	Death on the Balcony - Tempt Of Fate.wav	part_23	13	2
Death on the Balcony - Tempt Of Fate.wav_part_23_14	Death on the Balcony - Tempt Of Fate.wav	part_23	14	0
Death on the Balcony - Tempt Of Fate.wav_part_23_15	Death on the Balcony - Tempt Of Fate.wav	part_23	15	0
Death on the Balcony - Tempt Of Fate.wav_part_24_0	Death on the Balcony - Tempt Of Fate.wav	part_24	0	2
Death on the Balcony - Tempt Of Fate.wav_part_24_1	Death on the Balcony - Tempt Of Fate.wav	part_24	1	2
Death on the Balcony - Tempt Of Fate.wav_part_24_2	Death on the Balcony - Tempt Of Fate.wav	part_24	2	2
Death on the Balcony - Tempt Of Fate.wav_part_24_3	Death on the Balcony - Tempt Of Fate.wav	part_24	3	0
Death on the Balcony - Tempt Of Fate.wav_part_24_4	Death on the Balcony - Tempt Of Fate.wav	part_24	4	2
Death on the Balcony - Tempt Of Fate.wav_part_24_5	Death on the Balcony - Tempt Of Fate.wav	part_24	5	2
Death on the Balcony - Tempt Of Fate.wav_part_24_6	Death on the Balcony - Tempt Of Fate.wav	part_24	6	2
Death on the Balcony - Tempt Of Fate.wav_part_24_7	Death on the Balcony - Tempt Of Fate.wav	part_24	7	0
Death on the Balcony - Tempt Of Fate.wav_part_24_8	Death on the Balcony - Tempt Of Fate.wav	part_24	8	3
Death on the Balcony - Tempt Of Fate.wav_part_24_9	Death on the Balcony - Tempt Of Fate.wav	part_24	9	2
Death on the Balcony - Tempt Of Fate.wav_part_24_10	Death on the Balcony - Tempt Of Fate.wav	part_24	10	2
Death on the Balcony - Tempt Of Fate.wav_part_24_11	Death on the Balcony - Tempt Of Fate.wav	part_24	11	2
Death on the Balcony - Tempt Of Fate.wav_part_24_12	Death on the Balcony - Tempt Of Fate.wav	part_24	12	2
Death on the Balcony - Tempt Of Fate.wav_part_24_13	Death on the Balcony - Tempt Of Fate.wav	part_24	13	2
Death on the Balcony - Tempt Of Fate.wav_part_24_14	Death on the Balcony - Tempt Of Fate.wav	part_24	14	2
Death on the Balcony - Tempt Of Fate.wav_part_24_15	Death on the Balcony - Tempt Of Fate.wav	part_24	15	0
Death on the Balcony - Tempt Of Fate.wav_part_25_0	Death on the Balcony - Tempt Of Fate.wav	part_25	0	2
Death on the Balcony - Tempt Of Fate.wav_part_25_1	Death on the Balcony - Tempt Of Fate.wav	part_25	1	2
Death on the Balcony - Tempt Of Fate.wav_part_25_2	Death on the Balcony - Tempt Of Fate.wav	part_25	2	0
Death on the Balcony - Tempt Of Fate.wav_part_25_3	Death on the Balcony - Tempt Of Fate.wav	part_25	3	2
Death on the Balcony - Tempt Of Fate.wav_part_25_4	Death on the Balcony - Tempt Of Fate.wav	part_25	4	2
Death on the Balcony - Tempt Of Fate.wav_part_25_5	Death on the Balcony - Tempt Of Fate.wav	part_25	5	2
Death on the Balcony - Tempt Of Fate.wav_part_25_6	Death on the Balcony - Tempt Of Fate.wav	part_25	6	2
Death on the Balcony - Tempt Of Fate.wav_part_25_7	Death on the Balcony - Tempt Of Fate.wav	part_25	7	0
Death on the Balcony - Tempt Of Fate.wav_part_25_8	Death on the Balcony - Tempt Of Fate.wav	part_25	8	2
Death on the Balcony - Tempt Of Fate.wav_part_25_9	Death on the Balcony - Tempt Of Fate.wav	part_25	9	2
Death on the Balcony - Tempt Of Fate.wav_part_25_10	Death on the Balcony - Tempt Of Fate.wav	part_25	10	2
Death on the Balcony - Tempt Of Fate.wav_part_25_11	Death on the Balcony - Tempt Of Fate.wav	part_25	11	0
Death on the Balcony - Tempt Of Fate.wav_part_25_12	Death on the Balcony - Tempt Of Fate.wav	part_25	12	2
Death on the Balcony - Tempt Of Fate.wav_part_25_13	Death on the Balcony - Tempt Of Fate.wav	part_25	13	2
Death on the Balcony - Tempt Of Fate.wav_part_25_14	Death on the Balcony - Tempt Of Fate.wav	part_25	14	2
Death on the Balcony - Tempt Of Fate.wav_part_25_15	Death on the Balcony - Tempt Of Fate.wav	part_25	15	0
Death on the Balcony - Tempt Of Fate.wav_part_26_0	Death on the Balcony - Tempt Of Fate.wav	part_26	0	2
Death on the Balcony - Tempt Of Fate.wav_part_26_1	Death on the Balcony - Tempt Of Fate.wav	part_26	1	2
Death on the Balcony - Tempt Of Fate.wav_part_26_2	Death on the Balcony - Tempt Of Fate.wav	part_26	2	2
Death on the Balcony - Tempt Of Fate.wav_part_26_3	Death on the Balcony - Tempt Of Fate.wav	part_26	3	2
Death on the Balcony - Tempt Of Fate.wav_part_26_4	Death on the Balcony - Tempt Of Fate.wav	part_26	4	2
Death on the Balcony - Tempt Of Fate.wav_part_26_5	Death on the Balcony - Tempt Of Fate.wav	part_26	5	2
Death on the Balcony - Tempt Of Fate.wav_part_26_6	Death on the Balcony - Tempt Of Fate.wav	part_26	6	3
Death on the Balcony - Tempt Of Fate.wav_part_26_7	Death on the Balcony - Tempt Of Fate.wav	part_26	7	0
Death on the Balcony - Tempt Of Fate.wav_part_26_8	Death on the Balcony - Tempt Of Fate.wav	part_26	8	3
Death on the Balcony - Tempt Of Fate.wav_part_26_9	Death on the Balcony - Tempt Of Fate.wav	part_26	9	2
Death on the Balcony - Tempt Of Fate.wav_part_26_10	Death on the Balcony - Tempt Of Fate.wav	part_26	10	2
Death on the Balcony - Tempt Of Fate.wav_part_26_11	Death on the Balcony - Tempt Of Fate.wav	part_26	11	2
Death on the Balcony - Tempt Of Fate.wav_part_26_12	Death on the Balcony - Tempt Of Fate.wav	part_26	12	2
Death on the Balcony - Tempt Of Fate.wav_part_26_13	Death on the Balcony - Tempt Of Fate.wav	part_26	13	2
Death on the Balcony - Tempt Of Fate.wav_part_26_14	Death on the Balcony - Tempt Of Fate.wav	part_26	14	2
Death on the Balcony - Tempt Of Fate.wav_part_26_15	Death on the Balcony - Tempt Of Fate.wav	part_26	15	3
