;Unnamed: 0;grupo;filename;part;amplitude_envelope;chroma_stft;rmse;spectral_centroid;spectral_bandwidth;rolloff;zero_crossing_rate;mfcc1;mfcc2;mfcc3;mfcc4;mfcc5;mfcc6;mfcc7;mfcc8;mfcc9;mfcc10;mfcc11;mfcc12;mfcc13;mfcc14;mfcc15;mfcc16;mfcc17;mfcc18;mfcc19;mfcc20;label;rmse_norm;spectral_centroid_norm;ratio;rank;parts_per_song
22;Death on the Balcony - Tempt Of Fate.wav;1;Death on the Balcony - Tempt Of Fate.wav;part_22;0.91007996;0.26186445;0.32036555;4111.469967136173;4494.124932080029;9479.99267578125;43.185302734375;-102.76705;106.07528;-2.8921216;54.80508;-5.9201117;24.224586;-7.101539;14.658217;-2.401576;1.5282639;-1.3224918;3.6220376;4.9171143;3.876785;-1.230365;0.84635633;-2.120559;1.4523196;-1.6268579;4.589866;0;0.4667103931563112;0.847769698144447;1.8164791497593906;2.0;28.0
23;Death on the Balcony - Tempt Of Fate.wav;1;Death on the Balcony - Tempt Of Fate.wav;part_23;0.8785858;0.26178408;0.32510525;3727.203958402029;4166.299410524837;8602.5146484375;39.70849609375;-102.146225;116.299484;-12.036665;53.437473;-3.819784;24.183636;-10.573311;15.609797;-2.155024;0.8538943;1.0742445;2.0422606;5.618911;3.34845;-0.8034643;-0.95442224;-1.3621092;0.06599973;-0.37716213;5.331485;0;0.4857137347085086;0.6247157635836535;1.2861809723345876;10.0;28.0
24;Death on the Balcony - Tempt Of Fate.wav;1;Death on the Balcony - Tempt Of Fate.wav;part_24;0.8500824;0.24895446;0.32094842;3726.115960731289;4066.117312654128;8554.06494140625;47.83349609375;-105.26175;118.968216;-23.737448;45.68647;-3.2722523;23.44369;-14.742355;12.506383;-5.635452;-1.3008227;0.3988063;-0.59725296;3.4055831;1.4061793;-1.9372082;-3.7621708;-1.8848215;-1.3542837;-1.160615;2.9710073;0;0.469047350704369;0.6240842162811715;1.3305356385533005;8.0;28.0
25;Death on the Balcony - Tempt Of Fate.wav;1;Death on the Balcony - Tempt Of Fate.wav;part_25;0.8168106;0.23612833;0.29301605;3808.217568501817;4120.80966061626;8734.405517578125;50.8916015625;-115.838394;119.151634;-20.528793;42.629906;-8.1748085;24.246965;-19.779459;10.978107;-4.9042954;-2.677338;-3.8966196;-0.7720104;2.551582;-0.27172917;-2.8554296;-4.792079;-3.582622;-2.8951633;-2.4467883;2.6882935;0;0.35705537495224293;0.6717415323870395;1.88133712446392;1.0;28.0
26;Death on the Balcony - Tempt Of Fate.wav;1;Death on the Balcony - Tempt Of Fate.wav;part_26;0.56947327;0.10975735;0.3829642;4100.852101745264;4216.2827175419725;9415.39306640625;71.2568359375;-122.99476;115.128494;-24.374556;29.423725;-16.974413;25.490248;-19.853197;2.9326892;-12.357937;-4.414665;-4.5920973;-2.3813832;-0.3466151;-3.44768;-5.0340247;-5.4351096;-4.78911;-4.253889;-3.3876874;1.964358;0;0.7176932668944084;0.8416063722237364;1.1726546855671685;12.0;28.0
27;Death on the Balcony - Tempt Of Fate.wav;1;Death on the Balcony - Tempt Of Fate.wav;part_27;0.4657135;0.09106062;0.31222796;3833.3216051735926;3862.6092591931674;8010.3515625;64.9390869140625;-185.35262;140.18431;-25.786674;37.073006;-13.826036;0.78224826;-25.3533;-4.4631777;-15.821333;-8.686974;-10.20231;-3.5176325;-5.0358963;-6.075948;-11.917591;-6.714003;-5.1768684;-6.583838;-6.665322;0.86839825;0;0.43408355977408336;0.6863136101293413;1.5810633567567725;6.0;28.0
29;Detlef - Kinky Tail.wav;2;Detlef - Kinky Tail.wav;part_0;0.4766693;0.07873434;0.5937246;3973.41194440153;3347.2648345891653;7041.357421875;106.1483154296875;-220.03122;72.91826;-104.33987;15.060955;-34.413754;4.212685;-20.844318;1.4612077;-15.8982315;-3.2762122;-10.308376;-2.9011126;-9.288328;-9.390946;-9.797097;-7.9300184;-8.521945;-8.010179;-7.929596;-5.311436;1;0.43066823767373535;0.4850744231046185;1.1263296910976288;9.0;28.0
30;Detlef - Kinky Tail.wav;2;Detlef - Kinky Tail.wav;part_1;0.4790802;0.07838772;0.5954385;3952.802412717735;3351.550209926003;7079.04052734375;104.7777099609375;-207.33258;59.592793;-87.354294;4.4253793;-21.134398;-3.010137;-11.230574;-3.001414;-9.0637865;-5.642988;-5.3204055;-3.7685347;-5.938963;-9.057236;-7.508392;-7.100649;-6.91761;-7.212843;-6.691139;-4.708996;1;0.43909228139559836;0.4771933953209172;1.0867724520326782;10.0;28.0
32;Detlef - Kinky Tail.wav;2;Detlef - Kinky Tail.wav;part_3;0.7767334;0.105263874;0.6390723;4189.23029167836;3738.470982324918;8414.09912109375;110.2772216796875;-181.03387;57.94988;-70.75024;15.888159;-20.347488;12.458681;-8.324393;9.1428585;-2.731384;2.2154496;2.5121622;2.0568469;2.6085703;-3.1940236;0.7835141;-3.258038;-0.9999521;-1.4212106;-3.427066;-0.30073443;1;0.6535581422690687;0.5676027608280115;0.8684808957583616;15.0;28.0
35;Detlef - Kinky Tail.wav;2;Detlef - Kinky Tail.wav;part_6;0.74043274;0.11591731;0.5061037;4218.236095490486;3960.7601695267313;8984.72900390625;90.575439453125;-132.17348;86.1629;-56.70657;34.640472;-30.645643;21.10623;-20.955677;14.082818;-9.16154;2.9788494;-1.661486;2.967798;-3.4167583;-8.566782;-8.341014;-13.893854;-15.507199;-12.135952;-14.400322;-11.625505;1;0.0;0.5786944997980773;inf;1.0;28.0
36;Detlef - Kinky Tail.wav;2;Detlef - Kinky Tail.wav;part_7;0.7816925;0.1472165;0.6422718;5203.657191539388;3768.846048293352;9253.89404296875;131.0601806640625;-71.17162;72.44305;-66.86279;49.972973;-39.773083;24.680433;-19.477564;9.363865;-9.096602;-3.8700073;-4.259862;-5.0365977;-5.7273846;-13.802229;-8.551595;-16.660961;-9.992295;-13.6004095;-11.633599;-11.421299;1;0.6692841052121231;0.9555167952174934;1.4276699353477873;8.0;28.0
37;Detlef - Kinky Tail.wav;2;Detlef - Kinky Tail.wav;part_8;0.93652344;0.21336402;0.70955706;5319.984407166998;3642.0070966209114;9226.9775390625;138.7410888671875;-22.80407;68.875465;-75.570366;50.602886;-39.173725;29.338053;-17.905256;9.0169525;-9.67808;-5.832978;-4.014146;-7.074388;-4.635111;-14.16453;-6.245937;-15.193361;-5.665877;-12.717385;-10.418838;-11.479792;1;1.0;1.0;1.0;13.0;28.0
38;Detlef - Kinky Tail.wav;2;Detlef - Kinky Tail.wav;part_9;0.9471283;0.32016364;0.5582788;3306.302537814157;3923.3326208465;7741.1865234375;38.4847412109375;-127.757675;90.76942;-41.556137;49.58785;2.8598256;40.227047;15.501728;30.629963;14.362617;16.977934;12.758398;14.319882;11.474051;6.8305326;7.0760584;3.7478178;2.15778;3.2394893;1.7309661;3.9183564;1;0.2564474727770529;0.22997363533574813;0.8967670176094102;14.0;28.0
39;Detlef - Kinky Tail.wav;2;Detlef - Kinky Tail.wav;part_10;0.9423218;0.27390692;0.56694114;3496.8964519464525;3969.53527702825;8128.7841796875;41.5628662109375;-142.48692;89.94842;-38.72428;42.872524;4.356263;35.874737;11.626969;27.534246;11.121826;15.970937;11.696323;13.299617;8.945755;3.8437116;4.3586287;1.0627401;-0.15986592;1.9815178;0.5685072;3.120782;1;0.29902401218637986;0.3028562197499331;1.0128157184954252;12.0;28.0
41;Detlef - Kinky Tail.wav;2;Detlef - Kinky Tail.wav;part_12;0.93865967;0.25546664;0.53271735;3368.997037535844;3949.4428905497793;7396.6552734375;41.8231201171875;-146.88734;89.02297;-39.128815;44.451515;7.177312;37.422935;13.497978;27.901943;11.433021;16.047482;12.008233;13.752617;9.418792;4.2648835;4.635758;1.204927;-0.17599308;1.7584355;0.393972;2.765157;1;0.13080958702279452;0.2539478382323803;1.9413549420359233;7.0;28.0
42;Detlef - Kinky Tail.wav;2;Detlef - Kinky Tail.wav;part_13;0.84828186;0.13640532;0.5087303;4138.362155148127;4053.64873726124;8844.76318359375;84.2115478515625;-118.73742;93.78872;-63.72096;29.749355;-20.175852;20.408419;-10.793463;13.852082;-6.442623;5.799208;-0.28524488;5.309127;-1.9335861;-5.8768883;-7.3458657;-11.800754;-14.9301605;-11.120427;-12.558682;-8.491481;1;0.012910084158845666;0.5481509264316436;42.45912882419627;2.0;28.0
43;Detlef - Kinky Tail.wav;2;Detlef - Kinky Tail.wav;part_14;0.83000183;0.15013981;0.5226121;3988.317493778858;4025.5212977713336;8306.43310546875;76.56982421875;-112.56329;96.05646;-62.04475;32.756844;-17.665634;25.763247;-7.228799;17.829735;-2.5408418;8.835734;2.0185196;7.0942116;-1.5070776;-5.708589;-6.8896956;-10.240157;-12.394341;-8.966099;-11.3835745;-7.5535417;1;0.08114095535212584;0.4907742638664744;6.04841613876335;4.0;28.0
44;Detlef - Kinky Tail.wav;2;Detlef - Kinky Tail.wav;part_15;0.7775421;0.17895447;0.554243;4711.291805766078;3803.907522212044;8877.06298828125;101.3863525390625;-57.605366;85.27389;-65.63442;48.053093;-31.758236;34.304497;-11.628758;15.121552;-3.607958;2.9480722;1.1950492;1.7019631;-2.6530364;-10.654049;-6.5686746;-9.569338;-3.2786121;-8.5656805;-11.78105;-11.116496;1;0.2366109854366623;0.7672376365957891;3.2426120671441465;5.0;28.0
45;Detlef - Kinky Tail.wav;2;Detlef - Kinky Tail.wav;part_16;0.79870605;0.19548048;0.5698951;5063.855370936875;3691.435948890144;9076.2451171875;120.8360595703125;-30.371145;81.7764;-67.17208;54.403484;-37.96788;30.125685;-14.557832;12.343972;-3.1826587;-0.014480818;0.62001216;-4.3398447;-5.4461627;-13.946994;-3.7717857;-8.473829;-0.7468948;-10.511693;-11.897755;-11.480088;1;0.31354311376327215;0.9020569665671051;2.876979040426849;6.0;28.0
46;Detlef - Kinky Tail.wav;2;Detlef - Kinky Tail.wav;part_17;0.91929626;0.22529283;0.52776027;5157.063122877314;3534.1124479825994;9065.478515625;118.13037109375;-27.204826;81.89713;-76.63371;46.63779;-37.815067;30.953451;-15.966418;11.374647;-4.093448;-2.485971;-1.1128974;-7.782481;-5.272782;-14.94334;-3.4821727;-9.812485;-0.098263696;-11.539388;-11.582276;-12.216348;1;0.10644488741793202;0.9376993525256624;8.809247445055728;3.0;28.0
50;Detlef - Kinky Tail.wav;2;Detlef - Kinky Tail.wav;part_21;0.9273987;0.24338514;0.54667234;3241.1758874116717;3874.4763742188807;7030.5908203125;40.61181640625;-151.8693;97.61273;-36.46097;43.758957;4.191937;34.092636;11.216819;25.923754;11.355312;13.964669;11.490749;9.674537;8.362441;1.8161013;4.5046844;-0.24427223;1.0860925;0.2511469;-2.1997385;0.3965048;1;0.19940019668389822;0.2050693847610025;1.0284312060438507;11.0;28.0
55;Detlef - Kinky Tail.wav;2;Detlef - Kinky Tail.wav;part_26;0.31756592;0.058611818;0.60210764;3754.560989979559;3258.939208545078;6745.27587890625;93.3134765625;-237.0725;95.22032;-97.96381;17.831182;-26.5532;10.838109;-17.88846;9.191473;-11.39347;2.69638;-4.4012747;1.9952453;-4.8462005;-4.7868524;-5.8201795;-5.1547136;-3.4054716;-4.5961795;-4.737884;-2.6735814;1;0.4718719808805323;0.40138642481568737;0.8506256804370627;16.0;28.0
57;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;1;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;part_0;0.2111969;0.053135157;0.11396822;976.201678707254;2328.6685770623208;985.14404296875;21.6402587890625;-387.88663;162.76743;68.415565;29.680237;-3.4534712;6.6956024;-0.4614878;-6.0795593;-10.897303;-6.7690964;-5.511944;-8.744121;-10.073743;-8.441325;-7.014721;-9.111341;-6.8894367;-2.83247;-4.049119;-7.1506467;2;0.014217346112316865;0.059666783087000616;4.196759551018435;1.0;35.0
59;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;1;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;part_2;0.2897644;0.070511244;0.1746536;1671.505467078175;2265.6419585802705;2976.96533203125;23.8135986328125;-266.33295;176.26654;21.889439;8.360698;-2.3321702;9.119832;0.29085973;-7.219414;-13.436726;-9.983457;-6.76885;-7.268151;-7.7331395;-7.471566;-6.8237386;-7.5797033;-5.8672667;-4.262853;-5.3076234;-6.370831;2;0.15301066168878605;0.3738078342333948;2.4430182191728322;2.0;35.0
60;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;1;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;part_3;0.62757874;0.22300585;0.23585124;1520.8582363363869;2637.0552727694144;2756.25;11.283447265625;-229.93204;184.50058;39.5823;26.631939;6.405184;23.076115;12.69304;6.0533347;-0.31858775;2.545148;4.99968;3.6672614;3.234419;3.5583467;3.7955675;1.1623081;2.5771253;4.6621046;2.6125512;0.90750486;2;0.29297556527932395;0.3057448088205767;1.0435846707184557;18.0;35.0
61;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;1;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;part_4;0.6371918;0.23556596;0.25416732;2167.737838646376;3343.7084228954286;4521.97265625;16.0682373046875;-165.9668;165.30971;1.0082515;43.253674;9.739748;19.583748;8.2757435;3.9583812;3.284843;4.927019;3.012123;1.6069564;4.033852;4.440964;4.298865;0.23805524;2.233246;4.9510527;1.5842348;1.2382864;2;0.3348662063458189;0.5980076177302487;1.7858105906114685;5.0;35.0
62;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;1;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;part_5;0.8149719;0.29574218;0.32591203;2051.2726395633385;3270.510027982496;4338.9404296875;15.861572265625;-154.25105;163.30092;1.5356134;38.86331;10.844357;18.57212;7.509308;5.0258985;4.008905;6.4910827;3.3616438;1.9476687;3.8982089;4.9115047;4.468802;1.1473057;2.5948322;5.3990927;1.9067694;1.4706;2;0.49895327601519013;0.5453881718508573;1.0930646176061054;14.0;35.0
65;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;1;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;part_8;0.7187195;0.24611847;0.33124018;2880.807741432306;4130.330521967021;7035.97412109375;21.359130859375;-140.84123;154.87408;7.201113;38.754135;4.8889318;18.703323;4.5264053;3.7534184;5.9989433;2.6891775;-1.1406484;8.717556;8.140474;1.0139803;4.2521057;3.8349657;1.9613013;5.3381968;2.6117322;-0.86929125;2;0.511139268825794;0.9201754709025521;1.800244135060117;4.0;35.0
66;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;1;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;part_9;0.8440857;0.2937312;0.38391778;2424.7072473141207;3615.098215702878;5840.88134765625;20.1849365234375;-127.414;160.18819;-0.24494684;35.56927;4.78639;20.228472;3.245515;4.266158;4.0515;0.969578;1.2441864;9.108655;7.4243364;1.4730798;5.61775;4.2057276;1.9770263;4.7281733;2.016566;-0.40605456;2;0.6316180194014848;0.7141074312239856;1.1306001559307428;12.0;35.0
69;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;1;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;part_12;0.8147278;0.28255442;0.33915013;2027.392853681085;3237.3532421790032;4322.79052734375;16.694091796875;-148.88557;164.53197;-2.4193456;40.675438;10.805235;18.414022;8.335828;4.786493;3.663517;5.9928627;2.8636699;2.2972481;4.0983963;4.7834954;5.0146384;1.745157;2.6267543;5.5475187;1.730658;1.4376993;2;0.5292300871834296;0.5345991884400548;1.010145117193166;20.0;35.0
70;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;1;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;part_13;0.7341461;0.27491796;0.30031016;2003.5960495912536;3275.301754221326;4231.2744140625;15.21728515625;-153.70088;166.60794;-1.9191614;39.270206;12.61327;17.832848;9.214594;4.2136936;3.0675142;7.038617;2.9685156;2.7368982;4.6908565;4.5237646;4.961457;2.196951;2.9780114;5.75656;1.458883;1.3979905;2;0.4403993306949541;0.5238476965371854;1.1894834075032517;11.0;35.0
73;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;1;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;part_16;0.7915802;0.2865104;0.33822733;2056.7394911604933;3226.512878142312;4193.59130859375;17.331787109375;-154.23648;167.79205;3.1894503;37.26434;8.475854;16.86033;4.923971;3.5619109;7.4407835;3.3060424;-0.9649315;9.423618;8.974302;1.3999953;4.939978;5.0113187;2.1902995;4.946284;2.352558;-0.4680552;2;0.5271195546035238;0.5478581174140985;1.0393431862458098;19.0;35.0
77;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;1;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;part_20;0.70144653;0.19036563;0.29941297;2165.190268362657;4079.625171541212;4075.15869140625;16.144287109375;-185.54204;158.66;14.119126;19.249733;17.155186;16.371443;7.0779743;-3.568193;-5.806804;5.8242345;1.809388;3.6806457;-2.5479302;5.36162;1.4661375;0.8055212;0.30932814;0.76392794;1.111663;1.4911416;2;0.4383473706544625;0.5968566152185669;1.3616064682387545;9.0;35.0
78;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;1;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;part_21;0.6873779;0.18428907;0.30039692;2122.863294648131;3870.063510507451;4118.22509765625;12.3416748046875;-162.6864;155.3344;9.562828;27.710232;12.38412;19.30659;6.4852047;1.5205085;-2.2887056;6.31318;3.307757;5.1956778;0.9450911;5.9064174;2.3237257;2.7163067;0.28694934;1.7327521;1.9591256;3.1627524;2;0.4405977591806853;0.5777331180696722;1.3112484256479138;10.0;35.0
79;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;1;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;part_22;0.6632538;0.18635343;0.29857373;2290.309264723769;3884.5557310366175;4495.05615234375;17.479736328125;-150.41217;164.03731;2.8989916;28.635807;10.47224;17.875284;3.3620167;-1.1626432;-5.5294785;7.4792128;0.6954663;3.70932;-2.774416;6.2784405;0.6310407;0.82736355;-1.3916111;1.0540078;0.80874926;1.9565413;2;0.43642794785173145;0.6533858815517077;1.497121998643597;7.0;35.0
80;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;1;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;part_23;0.6215515;0.17573379;0.2383579;2234.6434455165136;3685.152704923943;5071.0693359375;19.0408935546875;-186.02673;172.40271;21.266449;32.085644;1.336119;21.141453;3.4520216;-1.1648422;-5.495676;-0.32851315;0.62769717;-0.2338179;-0.63516706;0.27873322;1.2880512;-1.639171;-0.95270646;2.6499572;-0.3161495;-1.4653097;2;0.2987085384010694;0.6282358403018768;2.1031733597730584;3.0;35.0
81;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;1;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;part_24;0.6919861;0.25421533;0.268614;2074.063072541697;3203.0390680594387;4349.70703125;16.7530517578125;-156.30995;167.50371;-1.0774049;39.110447;12.758484;18.152426;8.549411;3.5499244;3.6585352;5.7095385;2.5946803;2.0193877;4.0445733;5.3993206;4.3354964;1.5420943;2.4670222;5.066935;1.433491;1.0004331;2;0.367907156509965;0.5556849812335262;1.5103945965739187;6.0;35.0
82;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;1;Ebo Taylor & Pat Thomas & Henrik Schwarz -  Ene Nyame 'A' Mensuro (Henrik Schwarz Blend).wav;part_25;0.8503418;0.2930402;0.32725936;1963.2917223129696;3114.444800174112;4188.2080078125;15.950439453125;-149.1491;167.48405;-3.5889666;38.078014;12.866878;17.935038;8.802156;3.8358738;3.4486635;6.904378;2.943081;2.5729017;4.5372634;4.84709;4.7338104;1.994304;2.6275055;5.4416327;1.4935431;1.1573472;2;0.5020347496399025;0.505638039192137;1.007177370799171;21.0;35.0
